,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
35,002194.SZ,20181012,3.68,3.77,3.57,3.67,3.76,-0.09,-2.3936,64181.0,23305.757
36,002194.SZ,20181011,3.81,3.9,3.76,3.76,3.96,-0.2,-5.0505,41913.1,15937.474
37,002194.SZ,20181010,4.0,4.01,3.96,3.96,4.0,-0.04,-1.0,23219.0,9256.647
38,002194.SZ,20181009,3.96,4.07,3.96,4.0,3.96,0.04,1.0101,38779.11,15499.808
39,002194.SZ,20181008,3.96,4.21,3.92,3.96,4.06,-0.1,-2.4631,77488.5,31386.759
40,002194.SZ,20180928,3.94,4.14,3.94,4.06,3.94,0.12,3.0457,59787.0,24327.116
41,002194.SZ,20180927,3.95,4.04,3.91,3.94,3.93,0.01,0.2545,47710.0,18968.345
42,002194.SZ,20180926,3.98,4.02,3.92,3.93,3.96,-0.03,-0.7576,54772.0,21770.491
43,002194.SZ,20180925,3.83,4.04,3.81,3.96,3.85,0.11,2.8571,70663.01,27946.693
44,002194.SZ,20180921,3.79,3.87,3.79,3.85,3.79,0.06,1.5831,39169.0,15004.224
45,002194.SZ,20180920,3.78,3.9,3.75,3.79,3.77,0.02,0.5305,44459.0,17023.749
46,002194.SZ,20180919,3.75,3.79,3.7,3.77,3.74,0.03,0.8021,46578.01,17488.92
47,002194.SZ,20180918,3.7,3.75,3.65,3.74,3.71,0.03,0.8086,45039.87,16675.028
48,002194.SZ,20180917,3.88,3.88,3.71,3.71,3.9,-0.19,-4.8718,78337.97,29217.909
49,002194.SZ,20180914,3.97,4.02,3.88,3.9,3.96,-0.06,-1.5152,45666.0,18087.572
50,002194.SZ,20180913,3.95,3.99,3.89,3.96,3.93,0.03,0.7634,56848.1,22368.881
51,002194.SZ,20180912,3.95,3.99,3.91,3.93,3.95,-0.02,-0.5063,37106.0,14631.623
52,002194.SZ,20180911,3.98,4.05,3.91,3.95,3.98,-0.03,-0.7538,65988.46,26268.731
53,002194.SZ,20180910,4.03,4.14,3.96,3.98,4.04,-0.06,-1.4851,52800.01,21302.614
54,002194.SZ,20180907,4.06,4.11,3.97,4.04,4.09,-0.05,-1.2225,66471.01,26858.546
55,002194.SZ,20180906,4.02,4.14,3.98,4.09,4.06,0.03,0.7389,89765.0,36500.459
56,002194.SZ,20180905,3.93,4.15,3.9,4.06,3.95,0.11,2.7848,161017.82,65991.936
57,002194.SZ,20180904,3.89,4.01,3.87,3.95,3.92,0.03,0.7653,65285.01,25877.363
58,002194.SZ,20180903,4.0,4.05,3.86,3.92,4.06,-0.14,-3.4483,89273.45,34750.001
59,002194.SZ,20180831,4.1,4.18,3.99,4.06,4.13,-0.07,-1.6949,97243.42,39566.695
60,002194.SZ,20180830,4.17,4.23,4.1,4.13,4.2,-0.07,-1.6667,100392.0,41607.636
61,002194.SZ,20180829,4.35,4.35,4.11,4.2,4.2,0.0,0.0,174812.65,73670.778
62,002194.SZ,20180828,4.04,4.2,4.04,4.2,4.0,0.2,5.0,83713.63,34809.21
63,002194.SZ,20180827,3.8,4.0,3.8,4.0,3.81,0.19,4.9869,120062.24,47427.703
64,002194.SZ,20180824,3.87,3.91,3.78,3.81,3.9,-0.09,-2.3077,122560.87,47080.43
65,002194.SZ,20180823,3.69,3.9,3.66,3.9,3.71,0.19,5.1213,181077.61,69088.02
66,002194.SZ,20180822,3.72,3.91,3.69,3.71,3.73,-0.02,-0.5362,102726.59,38844.045
67,002194.SZ,20180821,3.71,3.77,3.65,3.73,3.71,0.02,0.5391,75608.42,28141.304
68,002194.SZ,20180820,3.67,3.73,3.6,3.71,3.69,0.02,0.542,60663.34,22192.687
69,002194.SZ,20180817,3.76,3.76,3.64,3.69,3.78,-0.09,-2.381,99651.0,36823.332
70,002194.SZ,20180816,3.6,3.79,3.58,3.78,3.61,0.17,4.7091,169533.7,63919.422
71,002194.SZ,20180815,3.72,3.72,3.59,3.61,3.69,-0.08,-2.168,37067.0,13557.398
72,002194.SZ,20180814,3.68,3.78,3.68,3.69,3.72,-0.03,-0.8065,46284.15,17234.102
73,002194.SZ,20180813,3.69,3.73,3.63,3.72,3.67,0.05,1.3624,61471.57,22688.823
74,002194.SZ,20180810,3.62,3.68,3.59,3.67,3.63,0.04,1.1019,40435.0,14682.162
75,002194.SZ,20180809,3.6,3.65,3.55,3.63,3.58,0.05,1.3966,42118.36,15242.879
76,002194.SZ,20180808,3.66,3.67,3.53,3.58,3.63,-0.05,-1.3774,52777.62,18954.894
77,002194.SZ,20180807,3.69,3.69,3.59,3.63,3.61,0.02,0.554,49310.9,17873.941
78,002194.SZ,20180806,3.62,3.63,3.54,3.61,3.62,-0.01,-0.2762,32295.13,11576.837
79,002194.SZ,20180803,3.65,3.71,3.59,3.62,3.6,0.02,0.5556,34243.13,12442.037
80,002194.SZ,20180802,3.75,3.75,3.57,3.6,3.76,-0.16,-4.2553,69944.58,25348.98
81,002194.SZ,20180801,3.79,3.82,3.7,3.76,3.8,-0.04,-1.0526,35257.0,13264.814
82,002194.SZ,20180731,3.79,3.87,3.73,3.8,3.81,-0.01,-0.2625,31152.0,11792.063
83,002194.SZ,20180730,3.88,3.92,3.72,3.81,3.9,-0.09,-2.3077,47543.0,18121.367
84,002194.SZ,20180727,3.92,3.94,3.87,3.9,3.94,-0.04,-1.0152,32505.1,12691.701
85,002194.SZ,20180726,3.88,3.97,3.83,3.94,3.88,0.06,1.5464,66031.19,25793.963
86,002194.SZ,20180725,3.8,3.95,3.78,3.88,3.81,0.07,1.8373,57140.03,22145.597
87,002194.SZ,20180724,3.71,3.82,3.7,3.81,3.74,0.07,1.8717,49031.11,18473.129
88,002194.SZ,20180723,3.68,3.75,3.67,3.74,3.72,0.02,0.5376,49312.0,18263.376
89,002194.SZ,20180720,3.68,3.73,3.61,3.72,3.67,0.05,1.3624,44164.1,16227.509
90,002194.SZ,20180719,3.73,3.78,3.66,3.67,3.73,-0.06,-1.61,52406.92,19453.995
91,002194.SZ,20180718,3.8,3.84,3.71,3.73,3.82,-0.09,-2.36,72860.0,27592.265
92,002194.SZ,20180717,3.81,3.87,3.76,3.82,3.8,0.02,0.53,59413.07,22627.06
93,002194.SZ,20180716,3.76,3.88,3.74,3.8,3.75,0.05,1.33,49420.49,18798.045
94,002194.SZ,20180713,3.8,3.8,3.73,3.75,3.81,-0.06,-1.57,62179.3,23356.422
95,002194.SZ,20180712,3.7,3.85,3.7,3.81,3.67,0.14,3.81,85402.1,32499.397
96,002194.SZ,20180711,3.81,3.82,3.66,3.67,3.85,-0.18,-4.68,51730.13,19170.989
97,002194.SZ,20180710,3.86,3.86,3.8,3.85,3.86,-0.01,-0.26,34702.0,13283.647
98,002194.SZ,20180709,3.81,3.88,3.75,3.86,3.79,0.07,1.85,40808.0,15612.199
99,002194.SZ,20180706,3.9,3.91,3.71,3.79,3.91,-0.12,-3.07,82406.13,31180.086
100,002194.SZ,20180705,4.08,4.09,3.91,3.91,4.12,-0.21,-5.1,64465.0,25628.884
101,002194.SZ,20180704,4.14,4.25,4.03,4.12,4.17,-0.05,-1.2,75375.01,31195.859
102,002194.SZ,20180703,4.08,4.18,4.04,4.17,4.09,0.08,1.96,54089.32,22291.555
103,002194.SZ,20180702,4.11,4.14,4.01,4.09,4.12,-0.03,-0.73,47916.01,19568.951
104,002194.SZ,20180629,4.05,4.13,3.97,4.12,4.08,0.04,0.98,69397.76,28242.967
105,002194.SZ,20180628,4.18,4.31,4.08,4.08,4.1,-0.02,-0.49,117098.88,49064.048
106,002194.SZ,20180627,4.08,4.16,4.05,4.1,4.08,0.02,0.49,58071.35,23854.528
107,002194.SZ,20180626,4.0,4.1,3.93,4.08,4.07,0.01,0.25,45368.41,18328.442
108,002194.SZ,20180625,4.14,4.18,4.03,4.07,4.14,-0.07,-1.69,43357.31,17780.449
109,002194.SZ,20180622,4.04,4.18,4.0,4.14,4.13,0.01,0.24,54712.01,22436.879
110,002194.SZ,20180621,4.32,4.38,4.13,4.13,4.35,-0.22,-5.06,75266.45,31685.757
111,002194.SZ,20180620,4.55,4.55,4.29,4.35,4.52,-0.17,-3.76,69421.15,30158.982
112,002194.SZ,20180619,4.71,4.73,4.52,4.52,4.76,-0.24,-5.04,33058.01,15091.759
113,002194.SZ,20180615,4.92,4.97,4.71,4.76,4.91,-0.15,-3.06,61686.23,29544.525
114,002194.SZ,20180614,4.95,5.04,4.86,4.91,4.96,-0.05,-1.01,43440.0,21382.828
115,002194.SZ,20180613,5.15,5.18,4.92,4.96,5.12,-0.16,-3.13,71887.9,36114.03
116,002194.SZ,20180612,5.04,5.13,4.96,5.12,5.02,0.1,1.99,59105.09,29842.76
117,002194.SZ,20180611,5.0,5.12,4.96,5.02,5.07,-0.05,-0.99,40803.62,20452.792
118,002194.SZ,20180608,5.03,5.1,4.76,5.07,4.98,0.09,1.81,98235.56,48637.845
119,002194.SZ,20180607,5.12,5.12,4.95,4.98,5.08,-0.1,-1.97,61016.46,30564.79
120,002194.SZ,20180606,5.0,5.16,4.98,5.08,4.98,0.1,2.01,74502.13,37819.154
121,002194.SZ,20180605,5.01,5.05,4.94,4.98,5.01,-0.03,-0.6,67003.5,33376.553
122,002194.SZ,20180604,5.06,5.06,4.97,5.01,5.03,-0.02,-0.4,40251.01,20165.717
123,002194.SZ,20180601,5.05,5.1,4.97,5.03,5.01,0.02,0.4,70103.0,35255.828
124,002194.SZ,20180531,5.13,5.14,4.87,5.01,5.13,-0.12,-2.34,127571.51,63342.122
125,002194.SZ,20180530,5.19,5.23,5.13,5.13,5.4,-0.27,-5.0,77763.0,39956.457
126,002194.SZ,20180529,5.62,5.74,5.4,5.4,5.68,-0.28,-4.93,132937.75,72687.765
127,002194.SZ,20180528,5.71,5.75,5.52,5.68,5.72,-0.04,-0.7,95905.61,54113.594
128,002194.SZ,20180525,5.83,5.85,5.61,5.72,5.9,-0.18,-3.05,157297.01,89293.246
129,002194.SZ,20180524,5.8,5.94,5.73,5.9,5.8,0.1,1.72,137709.55,80437.975
130,002194.SZ,20180523,5.93,6.09,5.72,5.8,5.88,-0.08,-1.36,215862.45,127831.319
131,002194.SZ,20180522,5.61,5.88,5.56,5.88,5.6,0.28,5.0,115746.6,66208.551
132,002194.SZ,20180521,5.51,5.67,5.48,5.6,5.5,0.1,1.82,135807.03,76004.719
133,002194.SZ,20180518,5.46,5.53,5.41,5.5,5.49,0.01,0.18,106849.0,58518.96
134,002194.SZ,20180517,5.48,5.57,5.35,5.49,5.48,0.01,0.18,156931.49,85575.228
135,002194.SZ,20180516,5.68,5.73,5.48,5.48,5.77,-0.29,-5.03,227021.03,125363.911
136,002194.SZ,20180515,5.78,5.89,5.62,5.77,5.92,-0.15,-2.53,238234.22,135341.667
137,002194.SZ,20180514,5.65,6.05,5.65,5.92,5.79,0.13,2.25,300050.51,175520.053
138,002194.SZ,20180511,5.79,5.79,5.79,5.79,6.09,-0.3,-4.93,27937.0,16175.523
139,002194.SZ,20180510,6.09,6.09,6.09,6.09,6.41,-0.32,-4.99,12907.0,7860.363
140,002194.SZ,20180509,6.41,6.41,6.41,6.41,6.75,-0.34,-5.04,5580.0,3576.78
141,002194.SZ,20180508,6.75,6.75,6.75,6.75,7.11,-0.36,-5.06,7534.0,5085.45
142,002194.SZ,20180507,7.11,7.11,7.11,7.11,7.48,-0.37,-4.95,4729.0,3362.319
143,002194.SZ,20180504,7.48,7.48,7.48,7.48,7.87,-0.39,-4.96,2320.0,1735.36
144,002194.SZ,20180503,7.87,7.87,7.87,7.87,8.28,-0.41,-4.95,1583.0,1245.821
145,002194.SZ,20180502,8.28,8.28,8.28,8.28,8.72,-0.44,-5.05,1723.0,1426.644
146,002194.SZ,20180427,8.72,8.72,8.72,8.72,9.18,-0.46,-5.01,3333.0,2906.376
147,002194.SZ,20180425,8.88,9.54,8.82,9.18,9.1,0.08,0.88,281243.13,261152.616
148,002194.SZ,20180424,9.08,9.16,8.86,9.1,9.16,-0.06,-0.66,187296.15,168978.147
149,002194.SZ,20180423,8.74,9.21,8.58,9.16,8.81,0.35,3.97,201359.67,181760.907
150,002194.SZ,20180420,8.71,9.06,8.6,8.81,8.86,-0.05,-0.56,122758.91,109357.309
151,002194.SZ,20180419,9.01,9.04,8.85,8.86,9.08,-0.22,-2.42,128040.92,114391.353
152,002194.SZ,20180418,8.86,9.1,8.14,9.08,8.7,0.38,4.37,188227.52,164104.408
153,002194.SZ,20180417,8.99,9.1,8.68,8.7,8.83,-0.13,-1.47,86926.4,77337.038
